,week_id,unique_id,player_name,position,injury_status,predicted,actual,performance,performance_difference
2135,2019_14,samdarnold,Sam Darnold,bench,0,16.6639505709,17.1,0,0.43604942910000233
2136,2019_14,christianmccaffrey,Christian McCaffrey,rb,0,28.227760358,24.5,1,-3.727760358000001
2137,2019_14,patrickmahomes,Patrick Mahomes,bench,0,18.490226408,13.92,1,-4.570226408000002
2138,2019_14,chriscarson,Chris Carson,rb,1,15.026550761,12.1,1,-2.9265507609999997
2139,2019_14,dedewestbrook,Dede Westbrook,flex,0,10.5809888502,8.5,1,-2.0809888502000007
2140,2019_14,lamarjackson,Lamar Jackson,qb,0,22.374794685,19.8,1,-2.5747946850000005
2141,2019_14,sammywatkins,Sammy Watkins,wr,0,8.9261881365,9.0,0,0.07381186349999957
2142,2019_14,curtissamuel,Curtis Samuel,wr,0,11.776856292700002,6.2,1,-5.576856292700001
2143,2019_14,marvinjonesjr.,Marvin Jones Jr.,flex,1,13.548935204,6.800000000000001,1,-6.748935203999999
2144,2019_14,tyrellwilliams,Tyrell Williams,bench,1,10.546340613,6.5,1,-4.046340613
2145,2019_14,jackdoyle,Jack Doyle,te,0,9.821066908,4.7,1,-5.121066908
2146,2019_14,allenlazard,Allen Lazard,bench,0,6.4123054947,3.9,1,-2.5123054947
2147,2019_14,nyheimhines,Nyheim Hines,bench,0,8.48032104,4.5,1,-3.9803210399999998
2148,2019_14,colebeasley,Cole Beasley,bench,0,10.829869591,14.9,0,4.070130409000001
2149,2019_14,julianedelman,Julian Edelman,flex,1,17.4896573082,24.3,0,6.810342691799999
2150,2019_14,evanengram,Evan Engram,ir,1,0.0,0.0,1,0.0
2151,2019_14,leonardfournette,Leonard Fournette,rb,1,21.276387968,9.3,1,-11.976387968000001
2152,2019_14,jamesconner,James Conner,bench,1,0.0,0.0,1,0.0
2153,2019_14,djmoore,DJ Moore,wr,1,16.889702917699996,12.1,1,-4.789702917699996
2154,2019_14,alshonjeffery,Alshon Jeffery,bench,1,13.824377825,0.0,1,-13.824377825
2155,2019_14,allenrobinsonii,Allen Robinson II,wr,0,14.384178971,21.8,0,7.415821029
2156,2019_14,dakprescott,Dak Prescott,qb,0,17.29948222,17.46,0,0.16051777999999928
2157,2019_14,djcharkjr.,DJ Chark Jr.,flex,0,13.3726079757,16.5,0,3.1273920243000006
2158,2019_14,geraldeverett,Gerald Everett,bench,0,0.0,0.0,1,0.0
2159,2019_14,lataviusmurray,Latavius Murray,rb,0,6.919010321800001,11.4,0,4.480989678199999
2160,2019_14,ryquellarmstead,Ryquell Armstead,bench,0,2.2206124449999995,0.7000000000000001,1,-1.5206124449999994
2161,2019_14,patricklaird,Patrick Laird,bench,0,9.921339637,12.6,0,2.6786603629999988
2162,2019_14,jayajayi,Jay Ajayi,bench,0,5.9107169225,0.5,1,-5.4107169225
2163,2019_14,juliojones,Julio Jones,wr,0,16.904154096100005,11.6,1,-5.304154096100005
2164,2019_14,tyreekhill,Tyreek Hill,flex,0,16.5254318201,13.0,1,-3.5254318200999997
2165,2019_14,robertwoods,Robert Woods,wr,0,13.6932580065,25.700000000000003,0,12.006741993500002
2166,2019_14,sonymichel,Sony Michel,rb,0,11.0415440115,1.9,1,-9.141544011499999
2167,2019_14,philliplindsay,Phillip Lindsay,rb,1,14.349272252000002,13.500000000000002,1,-0.8492722520000004
2168,2019_14,mattryan,Matt Ryan,bench,0,19.151980542,21.32,0,2.168019458
2169,2019_14,larryfitzgerald,Larry Fitzgerald,bench,0,9.276682289,5.0,1,-4.276682289
2170,2019_14,tevincoleman,Tevin Coleman,flex,0,11.724438393,0.6000000000000001,1,-11.124438393
2171,2019_14,vancemcdonald,Vance McDonald,bench,0,9.244965478,1.3,1,-7.944965477999999
