,Week,Team,Player,Slot,Pos,Status,Proj,Actual
107,1,10,Odell Beckham Jr.,4,WR,QUESTIONABLE,16.2875372455,14.100000000000001
108,1,10,Will Fuller V,23,Flex,QUESTIONABLE,9.371417284000001,8.9
109,1,10,Cooper Kupp,23,Flex,ACTIVE,12.589364008,11.600000000000001
110,1,10,Matt Breida,2,RB,ACTIVE,10.676773924999999,3.7
111,1,10,Geronimo Allison,20,Bench,ACTIVE,7.385929017,0.0
112,1,10,Corey Davis,20,Bench,ACTIVE,10.1896204169,0.0
113,1,10,Devin Singletary,2,RB,ACTIVE,10.116021825,14.8
114,1,10,Anthony Miller,20,Bench,QUESTIONABLE,5.997885746100001,0.0
115,1,10,Antonio Brown,20,Bench,ACTIVE,0.0,0.0
116,1,10,Russell Wilson,0,QB,ACTIVE,18.188465750000002,16.6
117,1,10,Eric Ebron,6,TE,QUESTIONABLE,7.3983514908000005,1.8
118,1,11,Ezekiel Elliott,2,RB,ACTIVE,21.358941569,13.3
119,1,11,DeAndre Hopkins,4,WR,QUESTIONABLE,19.708130214,31.1
120,1,11,Joe Mixon,2,RB,ACTIVE,16.231848105,3.7
121,1,11,Calvin Ridley,4,WR,QUESTIONABLE,11.473387047600001,16.4
122,1,11,Deshaun Watson,0,QB,ACTIVE,21.472903705999997,30.72
123,1,11,Jared Cook,6,TE,ACTIVE,10.679145775000002,5.7
124,1,11,Jarvis Landry,23,Flex,QUESTIONABLE,11.439377167900002,11.7
125,1,11,Ronald Jones II,20,Bench,ACTIVE,6.0545526443,10.3
126,1,11,DK Metcalf,20,Bench,ACTIVE,8.612327409,12.9
127,1,11,Philip Rivers,20,Bench,ACTIVE,16.679650447,23.92
128,1,11,DeSean Jackson,23,Flex,ACTIVE,8.872713483699998,35.4
129,1,11,Jalen Richard,20,Bench,QUESTIONABLE,8.696664614000001,0.30000000000000004
130,1,11,Carlos Hyde,20,Bench,ACTIVE,3.6528852468000004,9.5
131,1,12,Kerryon Johnson,23,Flex,ACTIVE,14.968090783000003,8.200000000000001
132,1,12,Davante Adams,4,WR,ACTIVE,16.944905000000002,7.6
133,1,12,Dalvin Cook,2,RB,ACTIVE,16.58289751,26.0
134,1,12,Kenny Golladay,4,WR,ACTIVE,13.994063941699999,14.2
135,1,12,Cam Newton,0,QB,QUESTIONABLE,18.493309009,5.36
136,1,12,Tarik Cohen,2,RB,ACTIVE,11.224650223000001,12.9
137,1,12,Miles Sanders,23,Flex,QUESTIONABLE,10.253761781,3.7
138,1,12,Christian Kirk,20,Bench,ACTIVE,10.338802065600001,10.4
139,1,12,Royce Freeman,20,Bench,ACTIVE,9.739064775000003,7.1000000000000005
140,1,12,Golden Tate,20,Bench,ACTIVE,0.0,0.0
141,1,12,Jamison Crowder,20,Bench,ACTIVE,9.826164958500003,24.3
142,1,12,Courtland Sutton,20,Bench,ACTIVE,10.270137750000002,19.0
143,1,12,Darren Waller,6,TE,QUESTIONABLE,8.654820399,14.0
144,1,13,Derrick Henry,2,RB,ACTIVE,13.800856158999999,28.9
145,1,13,George Kittle,6,TE,ACTIVE,14.889676217999998,13.4
146,1,13,Amari Cooper,4,WR,ACTIVE,15.069220243400002,22.6
147,1,13,Zach Ertz,23,Flex,QUESTIONABLE,13.174507136,10.4
148,1,13,Devonta Freeman,2,RB,ACTIVE,14.335962946,4.1000000000000005
149,1,13,A.J. Green,20,Bench,QUESTIONABLE,0.0,0.0
150,1,13,Tom Brady,20,Bench,ACTIVE,18.217252347,25.64
151,1,13,Josh Gordon,20,Bench,OUT,12.702891195,16.3
152,1,13,Drew Brees,0,QB,ACTIVE,18.527284889700002,20.8
153,1,13,Emmanuel Sanders,20,Bench,ACTIVE,11.967789206199997,19.6
154,1,13,LeSean McCoy,20,Bench,ACTIVE,5.1217352325,10.3
